Country Name,Country Code,Series Name,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Cambodia,KHM,"Population, total",SP.POP.TOTL,14945085,15170208,15396772,15623251,15852803,16073372,16274522,16481304,16725474,16974305,17201724,17423880,17638801
Cameroon,CMR,"Population, total",SP.POP.TOTL,20809529,21402376,22059893,22763414,23454161,24128601,24806383,25506095,26210558,26915758,27632771,28372687,29123744
Central African Republic,CAF,"Population, total",SP.POP.TOTL,4610848,4642419,4623182,4629320,4713663,4793511,4878657,4944703,5026628,5112100,5098039,5152421,5330690
Chad,TCD,"Population, total",SP.POP.TOTL,13210998,13691079,14188678,14647621,15114655,15622759,16156531,16685223,17224679,17828273,18455316,19319064,20299123
Comoros,COM,"Population, total",SP.POP.TOTL,681630,696192,711503,726682,741741,756669,771590,786578,802163,818174,834188,850387,866628
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,73254618,75789395,78403242,81035531,83956415,87083398,90047644,92947442,95989998,99148932,102396968,105789731,109276265
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,4740450,4857099,4975880,5097581,5222536,5351011,5483118,5616661,5752791,5892183,6035104,6182885,6332961
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,23467078,23939775,24527395,25246342,25989405,26733372,27464173,28193009,28915449,29639736,30395002,31165654,31934230
Djibouti,DJI,"Population, total",SP.POP.TOTL,966747,984824,1002717,1020313,1037653,1054841,1071882,1088709,1105188,1121248,1137096,1152944,1168722
Dominica,DMA,"Population, total",SP.POP.TOTL,69118,69715,70373,70410,69606,68496,68174,67880,67573,67202,66826,66510,66205
Eritrea,ERI,"Population, total",SP.POP.TOTL,3036988,3074360,3095173,3105546,3124698,3150347,3192760,3240194,3291271,3350183,3409447,3470390,3535603
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1123863,1129990,1136299,1142813,1149507,1158195,1168929,1179874,1192729,1206593,1218917,1230506,1242822
Ethiopia,ETH,"Population, total",SP.POP.TOTL,95798767,98438751,101115610,103867135,106718162,109666481,112664152,115737383,118917671,122138588,125384287,128691692,132059767
Fiji,FJI,"Population, total",SP.POP.TOTL,914918,916352,917585,918578,919166,918759,917180,914899,914963,916711,919422,924145,928784
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,2043094,2103820,2164528,2224529,2283769,2342189,2399632,2456844,2515733,2576010,2636470,2697845,2759988
Georgia,GEO,"Population, total",SP.POP.TOTL,3728874,3717668,3719414,3725276,3727505,3728004,3726549,3720161,3722716,3708610,3712502,3715483,3699557
Ghana,GHA,"Population, total",SP.POP.TOTL,26734268,27386193,28041592,28696068,29356742,30008354,30637585,31258945,31887809,32518665,33149152,33787914,34427414
Grenada,GRD,"Population, total",SP.POP.TOTL,112775,113487,114132,114676,115130,115438,115691,115981,116341,116688,116913,117081,117207
Guinea,GIN,"Population, total",SP.POP.TOTL,10921581,11191873,11472924,11767070,12073030,12385659,12704774,13034346,13371183,13710513,14055137,14405468,14754785
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1651417,1695973,1741122,1786457,1831893,1877072,1922168,1967696,2013255,2058841,2105529,2153339,2201352
Guyana,GUY,"Population, total",SP.POP.TOTL,746288,750021,754229,758781,763548,768479,791556,807665,807481,815482,821637,826353,831087
Haiti,HTI,"Population, total",SP.POP.TOTL,10069771,10222362,10373235,10523242,10671457,10817754,10962362,11105163,11243848,11374586,11503606,11637398,11772557
Honduras,HND,"Population, total",SP.POP.TOTL,8715076,8889278,9063122,9237305,9412380,9588137,9765210,9943633,10119640,10289877,10463872,10644851,10825703
India,IND,"Population, total",SP.POP.TOTL,1278674502,1295829511,1312277191,1328024498,1343944296,1359657400,1374659064,1389030312,1402617695,1414203896,1425423212,1438069596,1450935791
Kenya,KEN,"Population, total",SP.POP.TOTL,43888303,44986791,46051440,47088526,48139687,49197766,50207107,51202827,52217334,53219166,54252461,55339003,56432944
Kiribati,KIR,"Population, total",SP.POP.TOTL,112284,113838,115326,116815,118478,120275,122084,123921,126099,128377,130469,132530,134518
Kosovo,XKX,"Population, total",SP.POP.TOTL,1807126,1818119,1812788,1788274,1777568,1791019,1797086,1788891,1790151,1786079,1768096,1682668,1594353
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,5652076,5777150,5905848,6040036,6175338,6306696,6444079,6590211,6726596,6851224,6975220,7099750,7221868
Lao PDR,LAO,"Population, total",SP.POP.TOTL,6518978,6611385,6703172,6801645,6908802,7018147,7128045,7237636,7346533,7453194,7559007,7664993,7769819
Lesotho,LSO,"Population, total",SP.POP.TOTL,2034354,2056504,2080089,2104611,2130422,2157110,2183603,2209405,2235727,2261542,2286110,2311472,2337423
Liberia,LBR,"Population, total",SP.POP.TOTL,4373043,4470239,4564293,4659431,4755608,4848925,4944726,5043721,5149463,5259323,5373294,5493031,5612817
Madagascar,MDG,"Population, total",SP.POP.TOTL,23462438,24109290,24764348,25426702,26099952,26788375,27494926,28219554,28953556,29691083,30437261,31195932,31964956
Malawi,MWI,"Population, total",SP.POP.TOTL,15709577,16161816,16621538,17085587,17557739,18039715,18528081,19025752,19533888,20047258,20568728,21104482,21655286
Maldives,MDV,"Population, total",SP.POP.TOTL,386818,400070,413617,428154,443308,458287,473099,487731,502118,516154,524106,525994,527799
Mali,MLI,"Population, total",SP.POP.TOTL,16957033,17459615,18020267,18593022,19191289,19813011,20442030,21068405,21713836,22388630,23072640,23769127,24478595
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,51419,50681,49796,48800,47709,46529,45285,44007,42706,41367,40077,38827,37548
Mauritania,MRT,"Population, total",SP.POP.TOTL,3619034,3734318,3848514,3965959,4086657,4210600,4337685,4467708,4600131,4734874,4875637,5022441,5169395
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,107890,108121,108396,108716,109075,109481,109909,110282,110916,111624,112114,112630,113160
Moldova,MDA,"Population, total",SP.POP.TOTL,2860324,2859558,2857815,2835978,2803186,2755189,2707203,2664224,2635130,2595809,2528654,2457783,2402306
Mongolia,MNG,"Population, total",SP.POP.TOTL,2839705,2899011,2963113,3026864,3088856,3148917,3208189,3267673,3327204,3383741,3433748,3481145,3524788
Mozambique,MOZ,"Population, total",SP.POP.TOTL,24337846,25051611,25788475,26547572,27337105,28166393,29018644,29884380,30783688,31707800,32656246,33635160,34631766
Myanmar,MMR,"Population, total",SP.POP.TOTL,49837446,50262658,50681634,51089056,51495696,51894938,52272247,52640713,53016522,53387102,53756787,54133798,54500091
Nepal,NPL,"Population, total",SP.POP.TOTL,27534915,27589996,27672370,27823629,27955462,28011258,28079689,28414064,28966574,29475010,29715436,29694614,29651054
Nicaragua,NIC,"Population, total",SP.POP.TOTL,5901287,5983845,6066492,6149417,6232666,6316231,6400080,6483657,6565267,6644741,6730654,6823613,6916140
Niger,NER,"Population, total",SP.POP.TOTL,17836769,18519898,19215909,19939498,20685753,21435446,22188069,22947757,23717613,24502140,25311973,26159867,27032412
Nigeria,NGA,"Population, total",SP.POP.TOTL,176200625,181049443,185896915,190671878,195443700,200254579,204938755,209485641,213996181,218529286,223150896,227882945,232679478
Pakistan,PAK,"Population, total",SP.POP.TOTL,207667125,211073978,214264647,217290883,220138869,223273967,226928892,230800899,235001746,239477801,243700667,247504495,251269164
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,8081390,8302698,8523441,8743246,8961718,9178714,9394513,9609010,9815746,10012896,10203169,10389635,10576502
Rwanda,RWA,"Population, total",SP.POP.TOTL,10829901,11093340,11364757,11640022,11919183,12202060,12487996,12776103,13065837,13355260,13651030,13954471,14256567
Samoa,WSM,"Population, total",SP.POP.TOTL,196498,198268,200037,201782,203499,205415,207582,209780,211944,213779,215261,216663,218019
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,189439,193148,196767,200291,203689,206970,210187,213392,217435,221961,226305,230871,235536
Senegal,SEN,"Population, total",SP.POP.TOTL,13310495,13710849,14152102,14593331,15034521,15475002,15914498,16352922,16789219,17220867,17651103,18077573,18501984
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,6551080,6714051,6876385,7037655,7205328,7379299,7554563,7731991,7912558,8094602,8276807,8460512,8642022
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,573606,594945,616908,639415,662379,685672,709101,728147,744498,762591,781066,800005,819198
"Somalia, Fed. Rep.",SOM,"Population, total",SP.POP.TOTL,12461160,12869594,13339491,13806963,14348740,14916629,15452487,16030971,16651191,17271431,17801897,18358615,19009151
South Sudan,SSD,"Population, total",SP.POP.TOTL,10756240,11166275,11235073,11107561,10830102,10259154,10122977,10423384,10698467,10865780,11021177,11483374,11943408
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,21169458,20585000,20778000,20970000,21209000,21453000,21670000,21803000,21919000,22156000,22181000,22037000,21916000
St. Lucia,LCA,"Population, total",SP.POP.TOTL,172587,173369,174138,174905,175646,176342,177017,177661,178250,178522,178781,179285,179744
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,108736,108135,107535,106960,106349,105663,104926,104167,103526,102841,102046,101323,100616
Sudan,SDN,"Population, total",SP.POP.TOTL,36923178,37785849,38823318,40024431,41259892,42714306,44230596,45548175,46789231,48066924,49383346,50042791,50448963
Suriname,SUR,"Population, total",SP.POP.TOTL,562633,569020,575373,581627,587757,593713,599513,605768,612317,617896,623164,628886,634431
Tajikistan,TJK,"Population, total",SP.POP.TOTL,8014084,8216724,8425552,8643840,8865631,9085946,9307333,9529966,9749310,9966908,10182222,10389799,10590927
Tanzania,TZA,"Population, total",SP.POP.TOTL,47374260,48824128,50351512,52020962,53824013,55652890,57437145,59174891,60972798,62830412,64711821,66617606,68560157
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,1134885,1158695,1181903,1205131,1228312,1251703,1275959,1300945,1326053,1350139,1369295,1384286,1400638
Togo,TGO,"Population, total",SP.POP.TOTL,7100736,7285442,7472450,7663195,7858289,8057140,8258778,8463068,8669720,8878379,9089738,9304337,9515236
Tonga,TON,"Population, total",SP.POP.TOTL,107460,107078,106609,106095,105524,105356,105567,105669,105704,105490,105042,104597,104175
Tuvalu,TUV,"Population, total",SP.POP.TOTL,10934,11001,10984,10963,10930,10869,10751,10581,10399,10194,9992,9816,9646
Uganda,UGA,"Population, total",SP.POP.TOTL,34337438,35337042,36395539,37531446,38799152,40177388,41565831,42999637,44457152,45910930,47312719,48656601,50015092
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,29261903,29724065,30222994,30749346,31284568,31819178,32373490,32964701,33586372,34243696,34938955,35652307,36361859
Vanuatu,VUT,"Population, total",SP.POP.TOTL,248883,254482,260240,266101,272087,278507,285259,291985,298858,305868,313046,320409,327777
Viet Nam,VNM,"Population, total",SP.POP.TOTL,89510356,90573104,91679578,92823254,94000117,95176977,96237319,97173776,98079191,98935098,99680655,100352192,100987686
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,28433647,29312952,30226309,31159379,32109010,33090921,34085182,35111408,36134863,37140230,38222876,39390799,40583164
Zambia,ZMB,"Population, total",SP.POP.TOTL,14913629,15398997,15895315,16399089,16914423,17441320,17973569,18513839,19059395,19603607,20152938,20723965,21314956
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,13817887,14013808,14207359,14399013,14600294,14812482,15034452,15271368,15526888,15797210,16069056,16340822,16634373
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,
Last Updated: 12/19/2025,,,,,,,,,,,,,,,,
Code,License Type,Indicator Name,Short definition,Long definition,Source,Topic,Dataset,Unit of measure,Periodicity,Reference period,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,Other notes,License URL
SP.POP.TOTL,CC BY-4.0,"Population, total","Total population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship. The values shown are midyear estimates.","Total population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship. The values shown are midyear estimates.","World Population Prospects, United Nations (UN), uri: https://population.un.org/wpp/, publisher: UN Population Division;
Statistical databases and publications from national statistical offices, National Statistical Offices, uri: https://unstats.un.org/home/nso_sites/, publisher: National Statistical Offices;
Eurostat: Demographic Statistics, Eurostat (ESTAT), uri: https://ec.europa.eu/eurostat/data/database?node_code=earn_ses_monthly, publisher: Eurostat;
Population and Vital Statistics Report (various years), United Nations (UN), uri: https://unstats.un.org, publisher: UN Statistics Division",Health: Population: Structure,WB_WDI,Unit,Annual,1960-2024,Sum,"Methodology: Population estimates are usually based on national population censuses, and estimates of fertility, mortality and migration.



Errors and undercounting in census occur even in high-income countries.  In developing countries errors may be substantial because of limits in the transport, communications, and other resources required to conduct and analyze a full census.



The quality and reliability of official demographic data are also affected by public trust in the government, government commitment to full and accurate enumeration, confidentiality and protection against misuse of census data, and census agencies' independence from political influence. Moreover, comparability of population indicators is limited by differences in the concepts, definitions, collection procedures, and estimation methods used by national statistical agencies and other organizations that collect the data.



The currentness of a census and the availability of complementary data from surveys or registration systems are objective ways to judge demographic data quality. Some European countries' registration systems offer complete information on population in the absence of a census.



The United Nations Statistics Division monitors the completeness of vital registration systems. Some developing countries have made progress over the last 60 years, but others still have deficiencies in civil registration systems.



International migration is the only other factor besides birth and death rates that directly determines a country's population change. Estimating migration is difficult. At any time many people are located outside their home country as tourists, workers, or refugees or for other reasons. Standards for the duration and purpose of international moves that qualify as migration vary, and estimates require information on flows into and out of countries that is difficult to collect.



One of the major data sources of this indicator is UN Population Division's World Population Prospects, which use the cohort component method to produce population estimates and projections.



Population projections, starting from a base year are projected forward using assumptions of mortality, fertility, and migration by age and sex through 2050, based on the UN Population Division's World Population Prospects database medium variant.
Statistical concept(s): Estimates of total population describe the size of total population. Population estimates are dependent on the demographic components of change that are fertility, mortality and migration. As the size of population continues to change throughout the time even within a year, a reference time in the year that the estimate refers to is needed, such as mid-year, end-year or beginning of year. The values shown are midyear estimates.","Increases in human population, whether as a result of immigration or more births than deaths, can impact natural resources and social infrastructure.  This can place pressure on a country's sustainability.  A significant growth in population will negatively impact the availability of land for agricultural production, and will aggravate demand for food, energy, water, social services, and infrastructure. On the other hand, decreasing population size - a result of fewer births than deaths, and people moving out of a country - can impact a government's commitment to maintain services and infrastructure.","Current population estimates for developing countries that lack (i) reliable recent census data, and (ii) pre- and post-census estimates for countries with census data, are provided by the United Nations Population Division and other agencies. 



The cohort component method - a standard method for estimating and projecting population - requires fertility, mortality, and net migration data, often collected from sample surveys, which can be small or limited in coverage. Population estimates are from demographic modeling and so are susceptible to biases and errors from shortcomings in both the model and the data.



Because future trends cannot be known with certainty, population projections have a wide range of uncertainty.",Relevance to gender indicator: disaggregating the population composition by gender will help a country in projecting its demand for social services on a gender basis.,https://datacatalog.worldbank.org/public-licenses#cc-by
